Classes,Definition,Questions
HUMAN,ind,What dictator has the nickname `` El Maximo '' ?
HUMAN,group,What stereo manufacturer is `` Slightly ahead of its time '' ?
LOCATION,city,What U.S. city is The Queen of the Pacific ?
HUMAN,ind,What TV sitcom character had the maiden name Ethel Potter ?
ENTITY,food,What was the first Lifesaver flavor ?
HUMAN,ind,Who kept the most famous diary in the English language ?
LOCATION,other loc,Where can I find out the top 1 singles ?
NUMERIC,count,How many degrees cooler is the inside of a cucumber than the air outside ?
HUMAN,ind,What Spanish artist painted Crucifixion ?
ENTITY,creative,What is the Jewish bible called ?
DESCRIPTION,reason,Why is the grass green ?
DESCRIPTION,definition,What is a firewall ?
HUMAN,ind,What spy novelist served as Moscow correspondent for Reuter and The Times of London ?
HUMAN,group,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?
NUMERIC,period,How long does it take for Spider-Man 's web to evaporate ?
HUMAN,ind,Who was Randy Steven Craft 's lawyer ?
LOCATION,other loc,What was known as the Spice Island ?
HUMAN,ind,Who was the first host of Person to Person ?
HUMAN,ind,Name the Ranger who was always after Yogi Bear .
ENTITY,other entity,"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?"
ENTITY,other entity,What does the Statue of Liberty wear on her feet ?
HUMAN,ind,Who is the superstar in rent-a-cars ?
LOCATION,city,McCarren Airport is located in what city ?
ENTITY,other entity,"What household facility contains a float ball , ballcock , and overflow tube ?"
ENTITY,animal,What was the name of Betty Boop 's dog ?
NUMERIC,perc,What fraction of a beaver 's life is spent swimming ?
ENTITY,substance,What was the Bridge of San Luis Rey made of ?
DESCRIPTION,description of st,What do economists do ?
LOCATION,country,What country has the largest sheep population ?
DESCRIPTION,description of st,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?"
LOCATION,country,What country is the world 's largest importer of cognac ?
NUMERIC,count,How many years is Johnnie Walker Black Label aged ?
ABBREVIATION,exp,What does SIDS stand for ?
ENTITY,other entity,What is Grenada 's main commodity export ?
NUMERIC,money,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?"
DESCRIPTION,reason,What makes a clitoris sensitive ?
LOCATION,country,"What country has the most time zones , with 11 ?"
ENTITY,other entity,What `` magic '' does Mandrake employ ?
HUMAN,ind,Who is the president of Stanford University ?
HUMAN,ind,Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?
ENTITY,other entity,"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?"
LOCATION,city,What city is Logan Airport in ?
DESCRIPTION,definition,What is a nanometer ?
NUMERIC,count,How many innings are there in a regulation softball game ?
NUMERIC,date,When did CNN go on the air ?
LOCATION,city,What is the largest city on the Great Lakes ?
NUMERIC,code,What is the telephone number for the University of Kentucky ?
HUMAN,ind,Who invented baseball ?
NUMERIC,count,How many wives did Brigham Young have ?
ENTITY,product,What product on the market is good for hiding facial scars ?
NUMERIC,distance,How long is the Coney Island boardwalk ?
LOCATION,city,What city gained renown for its pea-soup fogs ?
DESCRIPTION,definition,What does `` Janelle '' mean ?
DESCRIPTION,manner,How do I get another city 's newspaper ?
ENTITY,creative,Name a movie about the Sioux Indians starring Kevin Costner .
HUMAN,ind,"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?"
DESCRIPTION,description of st,What are the distinct physical characterstics of the Arabian horse ?
ENTITY,dismed,What is a fear of thunder ?
ENTITY,animal,What animal has killed the most people ?
NUMERIC,count,How many colleges are in Wyoming ?
LOCATION,city,What Russian seaport has a name meaning `` Lord of the East '' ?
LOCATION,other loc,Where can stocks be traded on-line ?
NUMERIC,date,When was the Battle of Hastings ?
ENTITY,other entity,What kind of file has the extension .dbf ?
NUMERIC,date,When did Muhammad live ?
ENTITY,term,"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?"
DESCRIPTION,definition,What is a wop ?
DESCRIPTION,description of st,Where do rocks come from ?
DESCRIPTION,manner,How do I stop background noise in a car stereo ?
LOCATION,mount,Where do people mountain climb in Nepal ?
HUMAN,group,What is the best college in the country ?
DESCRIPTION,definition,What is viscosity ?
ENTITY,creative,What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?
LOCATION,country,What are the Nordic nations ?
LOCATION,other loc,Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?
LOCATION,state,What U.S. state borders Illinois to the north ?
ENTITY,creative,Name a film in which Jude Law acted .
NUMERIC,temp,What is the temperature for baking Peachy Oat Muffins ?
ENTITY,dismed,What is a fear of bees ?
ENTITY,creative,What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?
DESCRIPTION,definition,What is a green bog ?
LOCATION,other loc,Where did the myth of Santa Claus originate ?
ENTITY,other entity,What does a chairbound basophobic fear ?
LOCATION,city,What city is served by Logan International Airport ?
HUMAN,ind,What wrestling star became `` The Incredible Hulk '' ?
LOCATION,other loc,What attracts tourists to Reims ?
ENTITY,sport,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
ENTITY,other entity,What fastener did Whitcomb Judson patent in 1893 ?
DESCRIPTION,definition,What 's an auberge in France ?
HUMAN,ind,Who was the star of the 1965 Broadway hit Golden Boy ?
LOCATION,other loc,Where is Procter & Gamble based in the U.S. ?
HUMAN,group,What army was founded by William Booth and his wife Catherine ?
ENTITY,substance,What does ribavirin consist of ?
ENTITY,food,Name the soft drink that is `` number one in the sun . ''
LOCATION,other loc,What is the web address of the list of e-mail addresses of members of the House of Representatives ?
HUMAN,ind,What was her real name ?
DESCRIPTION,reason,Why are the ears your center of balance ?
HUMAN,ind,Who invented the toothbrush ?
ENTITY,creative,What was the name of that popular song the Creeps sang ?
LOCATION,other loc,Where is the Abominable Snowman said to wander ?
ENTITY,dismed,What is a fear of being alone ?
NUMERIC,count,How many dots make up the symbol for `` because '' ?
ENTITY,food,What do you get by adding Lactobacillus bulgaricus to milk ?
ABBREVIATION,exp,"When reading classified ads , what does EENTY : other stand for ?"
NUMERIC,count,How many hearts does an octopus have ?
ENTITY,plant,What plant has the largest seed ?
LOCATION,country,What was the only country you were allowed to drive into Israel from in 1979 ?
ENTITY,other entity,What 's approaching when a cyclist shouts : `` Oil '' ?
HUMAN,ind,"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?"
ENTITY,sport,What kind of sport is often associated with hooligans ?
HUMAN,ind,What video game hero do some of his fans call Chomper ?
NUMERIC,count,How many holes are there in a tenpin bowling ball ?
ENTITY,word,What is the longest word in the English language ?
LOCATION,other loc,In What city or state do the most gay men live in ?
HUMAN,ind,"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?"
ENTITY,animal,What is `` the bear of beers '' ?
ENTITY,other entity,Name the operating system that runs on IBM-compatible machines .
DESCRIPTION,definition,What does the name `` Justin '' mean ?
NUMERIC,perc,What percentage of the body is muscle ?
ENTITY,color,What color of dry wine should be served with veal roasts and chops ?
ENTITY,substance,What is a golf ball made of ?
DESCRIPTION,definition,What is the Amish religion ?
NUMERIC,money,What does an average daycare provider get paid in New England ?
HUMAN,group,What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?
HUMAN,ind,Who played the Ringo Kid in the 1939 film Stagecoach ?
HUMAN,ind,Who died 1 feet from where John F. Kennedy did ?
DESCRIPTION,definition,What is the `` coppertop '' battery ?
ENTITY,symbol,What sign is The Water Carrier the zodiacal symbol for ?
ENTITY,animal,What animals do you find in the stock market ?
DESCRIPTION,definition,What is color ?
NUMERIC,date,When is the site www.questions.com going to open ?
ENTITY,creative,What did Shostakovich write for Rostropovich ?
HUMAN,ind,What first name was Nipsy Russell given at birth ?
DESCRIPTION,manner,How can I get some free technical information on Electric Vehicle ?
HUMAN,ind,Who is the youngest of the Beatles ?
DESCRIPTION,manner,How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?
DESCRIPTION,definition,What is a Jellicle Cat ?
LOCATION,other loc,Where can I find the best free evidence for debate about Russia ?
LOCATION,other loc,What is Bill Gates of Microsoft E-mail address ?
ENTITY,substance,What is the second hardest substance ?
DESCRIPTION,reason,Why did several San Diego schools stop serving apples to students ?
LOCATION,city,What Russian city boasts the Hermitage Museum ?
NUMERIC,date,When is Bastille Day ?
DESCRIPTION,reason,What makes a tornado turn ?
NUMERIC,count,How many shots can a stock M16 hold ?
ENTITY,color,What two colors are you blind to if you suffer from protanopia ?
DESCRIPTION,reason,Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?
HUMAN,description human,Who is Coronado ?
ENTITY,creative,What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?
DESCRIPTION,definition,What is artificial intelligence ?
ENTITY,food,What do flatfish eat ?
HUMAN,ind,Who was the first Holy Roman Emperor ?
ENTITY,other entity,What can I use to remove the stubborn gummed labels from some diskettes ?
NUMERIC,date,What day of the week sees the most fatal car accidents ?
DESCRIPTION,description of st,"What is the origin of the word , magic ?"
ENTITY,sport,What sport do you shag flies in ?
DESCRIPTION,definition,What is white chocolate ?
LOCATION,other loc,Where is Trinidad ?
HUMAN,group,Name the organization that is presided by a Security Council .
HUMAN,ind,"Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?"
ENTITY,food,What kind of wine is Spumante ?
HUMAN,ind,Who portrayed portly criminologist Carl Hyatt on Checkmate ?
ENTITY,term,How do you say I love you in Spanish ?
DESCRIPTION,definition,What does the name Gina mean ?
ENTITY,product,What is the most advanced handheld calculator in the world ?
NUMERIC,speed,How fast is light ?
ENTITY,term,What is the belt of low pressure around the equator called ?
DESCRIPTION,definition,What are shooting stars ?
HUMAN,group,Whom did the Chicago Bulls beat in the 1993 championship ?
NUMERIC,date,When was the first American encyclopedia published ?
LOCATION,other loc,What 's the tallest building in New York City ?
DESCRIPTION,manner,How is Easter Sunday 's date determined ?
DESCRIPTION,description of st,What is the Motto for the State of Maryland ?
HUMAN,description human,Who is Desmond Tutu ?
LOCATION,other loc,Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?
ENTITY,animal,Name a tiger that is extinct .
NUMERIC,count,How many quarters equal a pound ?
ENTITY,creative,What kind of books does Fodor 's publish ?
HUMAN,ind,"What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?"
NUMERIC,ord,What chapter of the Bible has the most verses ?
HUMAN,ind,Who is the worst US President ever ?
HUMAN,ind,What Asian leader was known as The Little Brown Saint ?
ABBREVIATION,abb,What is the abbreviated expression for the National Bureau of Investigation ?
NUMERIC,speed,How fast does the fastest car go ?
LOCATION,mount,What is the highest mountain in the world ?
LOCATION,other loc,What arch can you see from the Place de la Concorde ?
HUMAN,ind,Who sings the song `` Drink to me with thine eyes '' by Ben Johnson ?
NUMERIC,period,How long should a person wash their hands before they are clean ?
LOCATION,other loc,Which way do you turn your Bic to increase the flame - clockwise or counterclockwise ?
LOCATION,country,Which is the wealthiest country in the world ?
DESCRIPTION,manner,How can I find a phone number of someone if I only know their email address ?
DESCRIPTION,manner,How can you contact play producers and promoters on-line ?
HUMAN,ind,Who is the monarch of the United Kingdom ?
ENTITY,dismed,What is a fear of passing high objects ?
DESCRIPTION,description of st,What do players try to do when the music stops in a game of musical chairs ?
